	ResponseID	OrganismID	LogcVar	TObs	MatrixID	In_on	Temperature	PropertyID	ID	Time	Value_y
169	127	lm	0.7648	480.0	beef	ground beef	3.0	exp_inoculated	3342	432.0	4.79
170	127	lm	0.7648	480.0	beef	ground beef	3.0	exp_inoculated	3343	456.0	4.81
171	127	lm	0.7648	480.0	beef	ground beef	3.0	exp_inoculated	3344	480.0	4.66
172	43340	lm	4.26	240.0	beef	ground beef	10.0	Other	3345	0.0	4.87
173	43340	lm	4.26	240.0	beef	ground beef	10.0	Other	3346	48.0	5.04
174	43340	lm	4.26	240.0	beef	ground beef	10.0	Other	3347	72.0	5.6
175	43340	lm	4.26	240.0	beef	ground beef	10.0	Other	3348	79.0	5.61
176	43340	lm	4.26	240.0	beef	ground beef	10.0	Other	3349	96.0	6.53
177	43340	lm	4.26	240.0	beef	ground beef	10.0	Other	3350	120.0	7.11
178	43340	lm	4.26	240.0	beef	ground beef	10.0	Other	3351	127.0	7.3
179	43340	lm	4.26	240.0	beef	ground beef	10.0	Other	3352	144.0	7.58
180	43340	lm	4.26	240.0	beef	ground beef	10.0	Other	3353	151.0	8.08
181	43340	lm	4.26	240.0	beef	ground beef	10.0	Other	3354	168.0	8.52
182	43340	lm	4.26	240.0	beef	ground beef	10.0	Other	3355	175.0	9.04
183	43340	lm	4.26	240.0	beef	ground beef	10.0	Other	3356	216.0	9.3
184	43340	lm	4.26	240.0	beef	ground beef	10.0	Other	3357	240.0	9.25
185	43341	lm	4.757	240.0	beef	ground beef	10.0	Other	3358	0.0	4.62
186	43341	lm	4.757	240.0	beef	ground beef	10.0	Other	3359	48.0	4.86
187	43341	lm	4.757	240.0	beef	ground beef	10.0	Other	3360	72.0	5.68
188	43341	lm	4.757	240.0	beef	ground beef	10.0	Other	3361	79.0	5.75
189	43341	lm	4.757	240.0	beef	ground beef	10.0	Other	3362	96.0	6.56
190	43341	lm	4.757	240.0	beef	ground beef	10.0	Other	3363	120.0	7.23
191	43341	lm	4.757	240.0	beef	ground beef	10.0	Other	3364	127.0	7.18
192	43341	lm	4.757	240.0	beef	ground beef	10.0	Other	3365	144.0	7.89
193	43341	lm	4.757	240.0	beef	ground beef	10.0	Other	3366	151.0	8.15
194	43341	lm	4.757	240.0	beef	ground beef	10.0	Other	3367	168.0	8.34
195	43341	lm	4.757	240.0	beef	ground beef	10.0	Other	3368	175.0	9.18
196	43341	lm	4.757	240.0	beef	ground beef	10.0	Other	3369	216.0	9.38
197	43341	lm	4.757	240.0	beef	ground beef	10.0	Other	3370	240.0	9.3
198	43342	lm	4.381	240.0	beef	ground beef	10.0	Other	3371	0.0	4.7
199	43342	lm	4.381	240.0	beef	ground beef	10.0	Other	3372	48.0	5.15
200	43342	lm	4.381	240.0	beef	ground beef	10.0	Other	3373	72.0	5.65
201	43342	lm	4.381	240.0	beef	ground beef	10.0	Other	3374	79.0	5.7
202	43342	lm	4.381	240.0	beef	ground beef	10.0	Other	3375	96.0	6.785
203	43342	lm	4.381	240.0	beef	ground beef	10.0	Other	3376	120.0	7.5
204	43342	lm	4.381	240.0	beef	ground beef	10.0	Other	3377	127.0	7.361
205	43342	lm	4.381	240.0	beef	ground beef	10.0	Other	3378	144.0	7.6
206	43342	lm	4.381	240.0	beef	ground beef	10.0	Other	3379	151.0	8.04
207	43342	lm	4.381	240.0	beef	ground beef	10.0	Other	3380	168.0	8.5
208	43342	lm	4.381	240.0	beef	ground beef	10.0	Other	3381	175.0	9.04
209	43342	lm	4.381	240.0	beef	ground beef	10.0	Other	3382	240.0	9.08
210	43343	lm	5.544	240.0	beef	ground beef	10.0	exp_inoculated	3383	0.0	4.08
211	43343	lm	5.544	240.0	beef	ground beef	10.0	exp_inoculated	3384	48.0	4.6
212	43343	lm	5.544	240.0	beef	ground beef	10.0	exp_inoculated	3385	72.0	6.23
213	43343	lm	5.544	240.0	beef	ground beef	10.0	exp_inoculated	3386	79.0	6.204
214	43343	lm	5.544	240.0	beef	ground beef	10.0	exp_inoculated	3387	96.0	7.08
215	43343	lm	5.544	240.0	beef	ground beef	10.0	exp_inoculated	3388	120.0	7.59
216	43343	lm	5.544	240.0	beef	ground beef	10.0	exp_inoculated	3389	127.0	7.87
217	43343	lm	5.544	240.0	beef	ground beef	10.0	exp_inoculated	3390	144.0	8.4
218	43343	lm	5.544	240.0	beef	ground beef	10.0	exp_inoculated	3391	151.0	8.63
219	43343	lm	5.544	240.0	beef	ground beef	10.0	exp_inoculated	3392	168.0	8.53
220	43343	lm	5.544	240.0	beef	ground beef	10.0	exp_inoculated	3393	175.0	9.3
221	43343	lm	5.544	240.0	beef	ground beef	10.0	exp_inoculated	3394	216.0	9.6
222	43343	lm	5.544	240.0	beef	ground beef	10.0	exp_inoculated	3395	240.0	9.28
223	43344	lm	5.6	240.0	beef	ground beef	10.0	exp_inoculated	3396	0.0	3.94
224	43344	lm	5.6	240.0	beef	ground beef	10.0	exp_inoculated	3397	48.0	5.48
225	43344	lm	5.6	240.0	beef	ground beef	10.0	exp_inoculated	3398	72.0	6.204
226	43344	lm	5.6	240.0	beef	ground beef	10.0	exp_inoculated	3399	79.0	6.11
227	43344	lm	5.6	240.0	beef	ground beef	10.0	exp_inoculated	3400	96.0	6.86
228	43344	lm	5.6	240.0	beef	ground beef	10.0	exp_inoculated	3401	120.0	7.59
229	43344	lm	5.6	240.0	beef	ground beef	10.0	exp_inoculated	3402	127.0	7.5
230	43344	lm	5.6	240.0	beef	ground beef	10.0	exp_inoculated	3403	144.0	8.34
231	43344	lm	5.6	240.0	beef	ground beef	10.0	exp_inoculated	3404	151.0	8.43
232	43344	lm	5.6	240.0	beef	ground beef	10.0	exp_inoculated	3405	168.0	8.79
233	43344	lm	5.6	240.0	beef	ground beef	10.0	exp_inoculated	3406	175.0	9.04
234	43344	lm	5.6	240.0	beef	ground beef	10.0	exp_inoculated	3407	216.0	9.54
235	43344	lm	5.6	240.0	beef	ground beef	10.0	exp_inoculated	3408	240.0	9.322
236	43345	lm	5.281	240.0	beef	ground beef	10.0	exp_inoculated	3409	0.0	4.04
237	43345	lm	5.281	240.0	beef	ground beef	10.0	exp_inoculated	3410	48.0	5.43
238	43345	lm	5.281	240.0	beef	ground beef	10.0	exp_inoculated	3411	72.0	6.04
239	43345	lm	5.281	240.0	beef	ground beef	10.0	exp_inoculated	3412	79.0	6.11
240	43345	lm	5.281	240.0	beef	ground beef	10.0	exp_inoculated	3413	96.0	7.08
241	43345	lm	5.281	240.0	beef	ground beef	10.0	exp_inoculated	3414	120.0	7.91
242	43345	lm	5.281	240.0	beef	ground beef	10.0	exp_inoculated	3415	144.0	8.18
243	43345	lm	5.281	240.0	beef	ground beef	10.0	exp_inoculated	3416	151.0	8.52
244	43345	lm	5.281	240.0	beef	ground beef	10.0	exp_inoculated	3417	168.0	9.2
245	43345	lm	5.281	240.0	beef	ground beef	10.0	exp_inoculated	3418	175.0	9.23
246	43345	lm	5.281	240.0	beef	ground beef	10.0	exp_inoculated	3419	216.0	9.32
247	43345	lm	5.281	240.0	beef	ground beef	10.0	exp_inoculated	3420	240.0	9.176
253	31975	ta	4.8	336.0	poultry	chicken mince	4.0	indigenous	5390	0.0	5.1
254	31975	ta	4.8	336.0	poultry	chicken mince	4.0	indigenous	5391	24.0	5.1
255	31975	ta	4.8	336.0	poultry	chicken mince	4.0	indigenous	5392	72.0	5.9
256	31975	ta	4.8	336.0	poultry	chicken mince	4.0	indigenous	5393	168.0	5.0
257	31975	ta	4.8	336.0	poultry	chicken mince	4.0	indigenous	5394	336.0	9.8
263	31977	ec	0.5	336.0	poultry	chicken mince	4.0	indigenous	5410	0.0	3.1
264	31977	ec	0.5	336.0	poultry	chicken mince	4.0	indigenous	5411	24.0	3.0
265	31977	ec	0.5	336.0	poultry	chicken mince	4.0	indigenous	5412	72.0	2.9
266	31977	ec	0.5	336.0	poultry	chicken mince	4.0	indigenous	5413	168.0	3.0
